N               naive runtime(seconds)              cached runtime(seconds)
1000            3.661309                            2.489529
2000            52.603403                           19.409329
3000            182.134683                          61.924129
4000            489.936276                          146.091745
5000            902.394503                          305.178051
6000            1737.782109                         508.652492
7000            3036.712167                         832.302749
8000            4949.201052                         1258.667500
9000            6652.837327                         1658.884244
10000           8324.541152                         2329.179538

N               strassen                            strassen_alt runtime(seconds)
1               0.000005                            0.000006
2               0.000023                            0.000032
4               0.000111                            0.000034
8               0.000523                            0.000049           
16              0.004759                            0.000232
32              0.034898                            0.000646
64              0.164453                            0.003047      
128             0.467862                            0.003528           
256             1.918247                            0.025179                 
512             18.812998                           0.389816   
1024            (out of memory)                     2.255645
2048            (out of memory)                     17.667065
4096            (out of memory)                     138.928024
8192            (out of memory)                     1072.925181
